Date : 2021-11-09 14:31:43
Directory : /Users/ca_admin/Documents/Development/Bouldr_App
Total : 53 files,  2821 codes, 316 comments, 336 blanks, all 3473 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/pages/search_page.dart                                    | Dart       |         21 |          0 |          4 |         25 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/pages/venue_map.dart                                      | Dart       |        138 |          2 |         15 |        155 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/pages/venue_page.dart                                     | Dart       |        102 |          3 |          8 |        113 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/repository/data_repository.dart                           | Dart       |         85 |          0 |         11 |         96 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/utils/config.helper.dart                                  | Dart       |          7 |          1 |          5 |         13 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/utils/hex_color.dart                                      | Dart       |         11 |          1 |          4 |         16 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/area_list.dart                                    | Dart       |         43 |          2 |          3 |         48 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/home_map.dart                                     | Dart       |        197 |          9 |         20 |        226 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/photo_gradient.dart                               | Dart       |         82 |         11 |          4 |         97 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/route_list.dart                                   | Dart       |         70 |          1 |          4 |         75 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/section_page_view.dart                            | Dart       |         53 |          1 |          3 |         57 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/section_widget.dart                               | Dart       |        158 |          1 |         11 |        170 |
| /Users/ca_admin/Documents/Development/Bouldr_App/lib/widgets/venue_list.dart                                   | Dart       |        123 |         61 |          9 |        193 |
| /Users/ca_admin/Documents/Development/Bouldr_App/pubspec.yaml                                                  | YAML       |         41 |         54 |         14 |        109 |
| /Users/ca_admin/Documents/Development/Bouldr_App/test/grade_test.dart                                          | Dart       |          9 |          0 |          5 |         14 |
| /Users/ca_admin/Documents/Development/Bouldr_App/test/widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| /Users/ca_admin/Documents/Development/Bouldr_App/web/index.html                                                | HTML       |         79 |         17 |          6 |        102 |
| /Users/ca_admin/Documents/Development/Bouldr_App/web/manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| Total                                                                                                          |            |      2,821 |        316 |        336 |      3,473 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
